1,1,0,0,0,5.3,769,70,770,2,3
1,2,0,-36.4,1,0,-22,600,0,1,3
1,3,0,-30,2,0,535,376,0,1,3
2,4,-9.3,-12.3,100,0,754,117,0,1,3
2,5,-9.3,-21.7,101,0,548,424,0,1,3
2,6,-9.3,-24.9,102,0,-134,530,0,1,4
3,7,-20.3,-24.3,200,0,761,104,0,1,3
3,8,-20.3,-25.4,201,0,88,813,0,1,2
4,9,-21.3,-26.8,300,0,37,802,0,1,1
4,10,-21.3,-28.5,301,0,752,91,0,1,3
5,11,-28.8,-31.2,400,0,16,807,0,1,1
5,12,-28.8,-41.8,401,0,-755,329,0,1,3
